,qid,question,options,answer,correct_option,format,rule,response_option
114,17965,"A 42-year-old patient with obstructive jaundice. Alp, Ggt, haptoglobin all increased. The most likely cause is:","{'0': 'Alcohol', '1': 'Lead', '2': 'Chronic rf', '3': 'None of the above'}",Alcohol,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Alcohol', 'R3': 'leads to', 'B': 'obstructive jaundice'},
    },
}
```",Rule1,0
115,17970,"A 35-year-old man with no pathological history of interest who went to the emergency room for presenting a picture of instability after an episode of black stools such as tar. In the emergency room, arterial hypotension was observed and recovered with conventional fluid therapy. Hemoglobin on admission 8 g / dL, hematocrit 25%. In the following days it continues with melénic episodes and descent of the hematocrit that need the transfusion of 3 packed red blood cells. Colonoscopy and upper digestive endoscopy were performed, finding no cause of his hemorrhagic symptoms. After one week of hospital admission and the transfusion of 4 units of red blood cell concentrates, she continues with manes. The next step to follow is:","{'0': 'Immediate surgical intervention.', '1': 'Endoscopic capsule', '2': 'Surgical enteroscopy.', '3': 'Continue with conservative treatment and request arteriography.'}",Continue with conservative treatment and request arteriography.,3,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'black stools', 'R3': 'leads to', 'B': 'need for endoscopic capsule'},
    },
}
```",Rule1,1
116,18005,"After the 11-year-old male patient complained of falls, pain above the ankle joint. The picture shows the ankle X-ray photography of this treatment. Why is the most likely diagnosis?","{'0': 'pathological fracture', '1': 'stress fracture', '2': 'depression fracture', '3': 'compression fracture'}",pathological fracture,0,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'pain above the ankle joint', 'R3': 'leads to', 'B': 'stress fracture'},
    },
}
```",Rule1,1
117,18035,If the drug  is delivered  in the area for less then 24hours is known as:,"{'0': 'Sustained drug  release', '1': 'Controlled drug release', '2': 'Slow drug release', '3': 'Initial drug release'}",Sustained drug  release,0,"```json
{
    ""option"": 3,
    {
        ""conversion_rule"": ""Rule1"",
        ""value"": {""A"": ""drug delivery for less than 24 hours"", ""R3"": ""leads to"", ""B"": ""initial drug release""},
    },
}
```",Rule1,3
118,18036,"Mr. Lin because of the superior mesenteric artery thrombosis (superior mesenteric artery thrombi) and peritonitis removal of most of the small intestine, which of the following is not a risk factor for the occurrence of postoperative short bowel syndrome (short bowel syndrome) is?","{'0': 'The remaining small bowel length is less than 200 cm', '1': 'Resection of the ileocecal valve', '2': 'Jejunal resection', '3': 'Ileal resection'}",Jejunal resection,2,"```json
{
    'option':  '2',
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Jejunal resection', 'R11': 'increase the risk of', 'B': 'postoperative short bowel syndrome'},
    },
}
```",Rule1,
119,18048,"2. The effect of anesthetic drugs can be broadly divided into hypnosis (hypnotic) and pain (analgesic) are two separate aspects to consider, the former is the depth of anesthesia monitoring (monitoring of the depth of anesthesia) in key areas. The following account of the depth of anesthesia monitoring what's wrong?
","{'0': 'The depth of anesthesia can be monitored using EEG (electroencephalogram, EEG), or calculated from EEG related indicators, mainly because these indicators and', '1': 'Inadequate depth of anesthesia during surgery, the patient may lead to surgery awake (intraoperative awareness), low body temperature, the higher the incidence', '2': 'More and more evidence shows that surgery depth of anesthesia monitoring, help to reduce the incidence of intraoperative patient awake. However, the monitoring was carried out, does not guarantee that the patient is fully awake surgery will not happen', '3': 'In the patient can afford, as far as possible to maintain a proper and stable inhalation anesthetic gas concentration, helps to reduce the occurrence of patient awake intraoperative'}","Inadequate depth of anesthesia during surgery, the patient may lead to surgery awake (intraoperative awareness), low body temperature, the higher the incidence",1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule3',
        'value': {'A': 'Inadequate depth of anesthesia', 'R3': 'leads to', 'B': 'surgery awake (intraoperative awareness)', 'R3': 'leads to', 'C': 'low body temperature', 'R3': 'leads to', 'D': 'higher incidence'},
    },
}
```",Rule3,1
120,18061,"A group of investigators is studying hemodynamic regulatory mechanisms in a human volunteer subject. The volunteer is administered a stimulant drug, and a sudden increase in blood pressure is observed. It is hypothesized that the increase in blood pressure causes stretching of the atria. Increased atrial stretch would most likely lead to which of the following changes?","{'0': 'Vasodilation and decreased platelet aggregation', '1': 'Decreased reabsorption of sodium', '2': 'Increased reabsorption of solute-free water', '3': 'Vasoconstriction and stimulation of thirst'}",Decreased reabsorption of sodium,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'increase in blood pressure', 'R3': 'leads to', 'B': 'increased atrial stretch'},
    },
}
```",Rule1,1
121,18147,A girl is has white hair. 40% of her classmates are also suffering from the same problem. None of the other people from the same village have white hair. Her brother who is staying with an aunt in the neighbouring village is also normal and does not have white hair. Which of the following explains the probable cause of her white hair?,"{'0': 'Environmental', '1': 'Genetic', '2': 'Nutritional', '3': 'Infection'}",Environmental,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Environmental factors', 'R1': 'cause', 'B': 'white hair'},
    },
}
```",Rule1,0
122,18174,MC cause of Primary Amenorrhea is ?,"{'0': 'Constitutional/idiopathic', '1': 'RMKH syndrome', '2': 'Ovarian dysgenesis', '3': 'None of the above'}",Ovarian dysgenesis,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Ovarian dysgenesis', 'R3': 'leads to', 'B': 'Primary Amenorrhea'},
    },
}
```",Rule1,2
123,18180,"An 8-year-old boy is brought by his parents to the emergency department with a tender and swollen right leg. The boy said that he was playing soccer when he accidentally kicked a metal goal post. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. A review of his medical history reveals that he had a fracture of the left tibia at 4-years-old and a fracture of the right radius 6 months ago. Neither of the two was associated with major trauma and both healed well. At the hospital, his vital signs are stable and his sclerae are white-blue. There is no muscular hypotonia. His height and weight are normal for his age and sex and the skin is normal. A tender swelling is present over his right leg and he can not put weight on that leg. The radiograph of his right leg confirms a fracture of the shaft of the tibia at the junction of its upper one-third and lower two-thirds. The clinician suspects physical abuse and orders a skeletal survey. Which of the following findings is most likely to be detected in a skeletal survey?","{'0': 'A healed right scapular fracture', '1': 'Ground-glass appearance of the cortices of the long bones', '2': 'Widening and cupping of the metaphyses of the long bones', '3': 'Wormian bones in the skull'}",Wormian bones in the skull,3,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Osteogenesis imperfecta', 'R3': 'leads to', 'B': 'Ground-glass appearance of the cortices of the long bones'},
    },
}
```",Rule1,1
124,18188,"B cell antibody molecule type conversion (class switch) can not be successfully carried out, which led to hyper-IgM syndrome (hyper-IgM syndrome), often because of a genetic defect that caused?","{'0': 'terminal deoxynucleotidyl transferase（TdT）', '1': ""Bruton's tyrosine kinase（Btk）"", '2': 'CD40 ligand（CD40L）', '3': 'recombination-activating gene（RAG）', 'correct answer': ""Bruton's tyrosine kinase（Btk）""}",CD40 ligand（CD40L）,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'genetic defect', 'R1': 'cause', 'B': 'hyper-IgM syndrome'},
    },
}
```",Rule1,2
125,18209,"A 4 years old child was brought to the hospital with right impalpable testsis. During diagnostic laparoscopy for undescended testis, there are blind testicular vessels. What should be done next?","{'0': 'Abdominal exploration', '1': 'Nothing is to be done', '2': 'Inguinal exploration', '3': 'Scrotal exploration'}",Nothing is to be done,1,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'blind testicular vessels', 'R3': 'leads to', 'B': 'abdominal exploration'},
    },
}
```",Rule1,0
126,18214,"Man presented with acute abdomen, when man was put in knee chest position helped to relieve the pain what might be the cause.","{'0': 'Acute pancreatitis', '1': 'Cholecystitis', '2': 'Superior mesenteric aery ischemia', '3': 'Renal'}",Acute pancreatitis,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Knee chest position', 'R3': 'relieves', 'B': 'pain in acute pancreatitis'},
    },
}
```",Rule1,0
127,18243,"A 12-year-old boy is brought to the emergency department with a 2-month history of increasing difficulty with physical activity. Specifically, he says that he gets short of breath quickly with exertion even though he used to participate in all activities without a problem. When asked, he endorses sometimes coughing up flecks of blood. His past medical history is unclear because he was recently adopted from abroad and has not yet established care. Physical exam reveals blue discoloration of his lips and fingernails as well as a holosystolic murmur best heard at the lower left sternal border. Which of the following physiologic mechanisms is primarily responsible for this patient's current presentation?","{'0': 'Increasing size of ventricular septal defect', '1': 'Left ventricular outflow tract obstruction', '2': 'New atrial septal defect', '3': 'Pulmonary artery hypertension'}",Pulmonary artery hypertension,3,"```json
{
    ""option"": 3,
    {
        ""conversion_rule"": ""Rule1"",
        ""value"": {""A"": ""Pulmonary artery hypertension"", ""R3"": ""leads to"", ""B"": ""shortness of breath and coughing up blood""},
    },
}
```",Rule1,3
128,18278,"A 51-year-old man is brought to the physician by his wife because of a 3-week history of abnormal behavior. His wife reports he has been preoccupied with gambling at the local casino. He becomes restless and irritable when his wife attempts to restrict his gambling. Four months ago, he was diagnosed with Parkinson disease and treatment was initiated. Which of the following best describes the mechanism of action of the drug that was most likely prescribed for this patient?","{'0': 'Peripheral inhibition of DOPA decarboxylase', '1': 'Direct activation of dopamine receptors', '2': 'Selective inhibition of monoamine oxidase B', '3': 'Inhibition of catechol-O-methyl transferase'}",Direct activation of dopamine receptors,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Parkinson disease treatment', 'R3': 'leads to', 'B': 'Direct activation of dopamine receptors'},
    },
}
```",Rule1,1
129,18285,Why is oxygen eliminated in polarography ?:,"{'0': 'Because it reacts with mercury.', '1': 'Because it damages the reference electrode.', '2': 'Because it originates a pair of polarographic waves.', '3': 'Because it gives rise to coupled chemical reactions.'}",Because it originates a pair of polarographic waves.,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'oxygen', 'R3': 'leads to', 'B': 'a pair of polarographic waves'},
    },
}
```",Rule1,2
130,18298,Bismuth Oxide incorporated in MTA results in grey discolouration of crown. In newer material this Bismuth Oxide is replaced with?,"{'0': 'Terbium-Dysisopropium', '1': 'Tantalam Oxide', '2': 'Bismuth Carbonate', '3': 'Titanium Oxide'}",Tantalam Oxide,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Bismuth Oxide', 'R5': 'results in', 'B': 'grey discolouration of crown'},
    },
}
```",Rule1,1
131,18355,The commonest cause of occipitoposterior position of fetal head during labor is:,"{'0': 'Maternal obesity', '1': 'Multiparity', '2': 'Deflexion of fetal head', '3': 'Android pelvis'}",Android pelvis,3,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Deflexion of fetal head', 'R3': 'leads to', 'B': 'occipitoposterior position of fetal head during labor'},
    },
}
```",Rule1,2
132,18376,"A 81-year-old man is brought to the emergency department after he fell asleep at the dinner table and was not able to be roused by his family. His past medical history is significant for Alzheimer disease though he is still relatively functional at baseline. He has also been taking warfarin over the last 3 months after he suffered a deep venous thrombosis. After he was transported to the ED, his family found that the pills his grandson takes for seizures were missing. On presentation, he is found to be somnolent and physical exam reveals ataxia and nystagmus. After determining the cause of this patient's symptoms, his physicians begin monitoring his international normalized ratio, because they are concerned that it will start trending down. Which of the following treatments would most improve the urinary excretion of the substance likely responsible for these symptoms?","{'0': 'Ammonium chloride', '1': 'Mannitol', '2': 'Sodium bicarbonate', '3': 'Thiazide diuretics'}",Sodium bicarbonate,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Sodium bicarbonate', 'R3': 'leads to', 'B': 'improved urinary excretion of the substance responsible for the symptoms'},
    },
}
```",Rule1,2
133,18377,"No sperm disorders are among the causes of male infertility, such as semen examination revealed no sperm disease, Which of the following is the best practice?","{'0': 'After explaining the possible reasons no sperm syndrome, a few weeks after the break once again seized semen or blood tests', '1': 'Arrangements testicular sections for analysis obstructive or non-obstructive disease without sperm', '2': 'Arrange single sperm injection IVF', '3': 'Inform the child adoption is the only option'}","After explaining the possible reasons no sperm syndrome, a few weeks after the break once again seized semen or blood tests",0,"```json
{
    ""option"": 1,
    {
        ""conversion_rule"": ""Rule1"",
        ""value"": {""A"": ""No sperm disorders"", ""R3"": ""leads to"", ""B"": ""male infertility""},
    },
}
```",Rule1,1
134,18378,"A 37-year-old G1P1001 delivers a male infant at 9 pounds 6 ounces after a C-section for preeclampsia with severe features. The mother has a history of type II diabetes with a hemoglobin A1c of 12.8% at her first obstetric visit. Before this pregnancy, she was taking metformin, and during this pregnancy, she was started on insulin. At her routine visits, her glucose logs frequently showed fasting fingerstick glucoses above 120 mg/dL and postprandial values above 180 mg/dL. In addition, her routine third trimester culture for group B Streptococcus was positive. At 38 weeks and 4 days gestation, she was found to have a blood pressure of 176/103 mmHg and reported a severe headache during a routine obstetric visit. She denied rupture of membranes or vaginal bleeding. Her physician sent her to the obstetric triage unit, and after failure of several intravenous doses of labetalol to lower her blood pressure and relieve her headache, a C-section was performed without complication. Fetal heart rate tracing had been reassuring throughout her admission. Apgar scores at 1 and 5 minutes were 7 and 10. After one hour, the infant is found to be jittery; the infant's temperature is 96.1°F (35.6°C), blood pressure is 80/50 mmHg, pulse is 110/min, and respirations are 60/min. When the first feeding is attempted, he does not latch and begins to shake his arms and legs. After 20 seconds, the episode ends and the infant becomes lethargic. Which of the following is the most likely cause of this infant’s presentation?","{'0': 'ß-cell hyperplasia', '1': 'Neonatal sepsis', '2': 'Inborn error of metabolism', '3': 'Neonatal encephalopathy'}",ß-cell hyperplasia,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Maternal type II diabetes with poor glycemic control', 'R3': 'leads to', 'B': 'ß-cell hyperplasia in the infant'},
    },
}
```",Rule1,0
135,18379,"A 49-year-old obese man presents to the emergency department with a fever and a cough productive of bloody sputum. He has also been waking up at night frequently, which he attributes to sweating while asleep. He is also proud of recently losing some weight but denies actively trying to do so. He says that he has had these symptoms intermittently for the last several years but has not consistently sought treatment because his housing has been transient with periods of homelessness. He is started on a course of therapy and leaves against medical advice before his physician is able to explain the medications. He returns two days later because he is concerned that his eyes are bleeding. The area of the lung most likely affected by this patient's condition has which of the following characteristics?","{'0': 'High perfusion, high ventilation, high V/Q ratio', '1': 'High perfusion, high ventilation, low V/Q ratio', '2': 'Low perfusion, low ventilation, high V/Q ratio', '3': 'Low perfusion, low ventilation, low V/Q ratio'}","Low perfusion, low ventilation, high V/Q ratio",2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'obesity', 'R3': 'leads to', 'B': 'low perfusion, low ventilation, high V/Q ratio'},
    },
}
```",Rule1,2
136,18388,"The following related hormones affect sperm formation, a narrative that error?","{'0': 'Testosterone is secreted by Leydig cell', '1': 'Follicle-stimulating hormone secreted by the Anterior pituitary', '2': 'After Follicle-stimulating hormone stimulation, Sertoli cell can be converted to Estrogen Testosterone', '3': 'Gonadotropin-releasing hormone secreted by the Anterior pituitary'}",Gonadotropin-releasing hormone secreted by the Anterior pituitary,3,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Gonadotropin-releasing hormone', 'R4': 'affects', 'B': 'Anterior pituitary'},
    },
}
```",Rule1,3
137,18411,Which of the following is true about effect of insulin and glucagon on gluconeogenesis?,"{'0': 'Insulin ours the formation of fructose 2,6 bisphosphate', '1': 'Fructose 2, 6 bisphosphate is an inhibitor of glycolysis', '2': 'Insulin acts through a kinase', '3': 'Glucagon stimulates PFK.2 activity of the tandem enzyme'}","Insulin ours the formation of fructose 2,6 bisphosphate",0,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Insulin', 'R3': 'acts through', 'B': 'a kinase'},
    },
}
```",Rule1,2
138,18412,The linear molecule of DNA associated with proteins is:,"{'0': 'Nucleosome', '1': 'Chromatin', '2': 'Eukaryotic chromosome.', '3': 'Gen.'}",Eukaryotic chromosome.,2,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'DNA', 'R10': 'associated with', 'B': 'Chromatin'},
    },
}
```",Rule1,1
139,18445,Question linked to image # 1 Which of the following statements is FALSE with respect to the anatomical structure indicated by the blue arrow in the image?,"{'0': 'It is innervated by the median nerve.', '1': 'Its function is supination of the forearm.', '2': 'Participates in the stability of the distal radioulnar joint.', '3': 'It has its origin in the distal quarter of the anterior aspect of the ulna and its insertion in the distal quarter of the anterior face of the radius.'}",Its function is supination of the forearm.,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'anatomical structure', 'R3': 'leads to', 'B': 'supination of the forearm'},
    },
}
```",Rule1,1
140,18473,"A 3-month-old boy presents to his pediatrician with persistent diarrhea, oral candidiasis, and signs and symptoms suggestive of respiratory syncytial virus (RSV) pneumonia. His weight is in the 10th percentile. He is being evaluated for an immunodeficiency disease. Laboratory results for the HIV are negative by PCR. Which of the following is the most likely cause of these findings in this patient?","{'0': 'Defective T cell function', '1': 'Grossly reduced levels of B cells', '2': 'Defective isotype switching', '3': 'Selective IgA deficiency'}",Defective T cell function,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Defective T cell function', 'R3': 'leads to', 'B': 'immunodeficiency disease with persistent diarrhea, oral candidiasis, and RSV pneumonia'},
    },
}
```",Rule1,0
141,18486,Question linked to the image nº34 From the following bony structures indicate the odontoid process:,"{'0': 'one.', '1': 'two.', '2': '3.', '3': 'Four.'}",3,2,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'odontoid process', 'R3': 'is', 'B': 'one'},
    },
}
```",Rule1,0
142,18517,Most common cause of optic atrophy in children is?,"{'0': 'Retinopathy of Prematurity', '1': 'Optic nerve Glioma', '2': 'Dwarfism', '3': 'Hydrocephalus'}",Optic nerve Glioma,1,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Hydrocephalus', 'R1': 'cause', 'B': 'optic atrophy'},
    },
}
```",Rule1,3
143,18545,"A 5-year-old boy is brought to his pediatrician’s office by his parents after they noticed blood in his urine. The child has been complaining of difficulty in passing urine and has lower abdominal pain. He seems more bloated than usual. On some occasions, he starts crying while passing urine, primarily because of a burning sensation. A urinalysis is performed, and the results are as follows:
Urine pH 6.2
Urine specific gravity 1.010
Glucose Negative
Ketones Negative
RBCs 1-2/hpf
WBCs 0-1/hpf
Casts 2-3/hpf
The pediatrician believes the boy has a bladder infection with a double-stranded DNA virus. Which of the following conditions is also commonly associated with this viral infection?","{'0': 'Gastroenteritis', '1': 'Painful dermatomal vesicles', '2': 'Lymphadenopathy', '3': 'Vesicular rash'}",Gastroenteritis,0,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'double-stranded DNA virus', 'R3': 'associated with', 'B': 'Vesicular rash'},
    },
}
```",Rule1,3
144,18551,"Because Wang leukemia have a bone marrow transplant, he was only a younger brother, his brother, who were HLA testing, HLA is exactly the opportunity he meets about how much%?","{'0': '100', '1': '75', '2': '50', '3': '25'}",25,3,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'HLA testing', 'R3': 'leads to', 'B': '50% match'},
    },
}
```",Rule1,2
145,18570,Why does a potentiostat need an auxiliary electrode ?:,"{'0': 'A potentiostat does not need any auxiliary electrode.', '1': 'Because not having a reference electrode needs an auxiliary one.', '2': 'Because the electrolysis is carried out between the auxiliary electrode and the working electrode.', '3': 'Because the auxiliary electrode minimizes background noise.'}",Because the electrolysis is carried out between the auxiliary electrode and the working electrode.,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'electrolysis', 'R3': 'leads to', 'B': 'use of auxiliary electrode'},
    },
}
```",Rule1,2
146,18582,Which of the following options is NOT a physiological alteration associated with obesity ?:,"{'0': 'Increase in the percentage of body fat and water.', '1': 'Decrease in cardiac output.', '2': 'Increase in glomerular filtration rate.', '3': 'Increase in the enzymatic activity of the hepatocyte.'}",Decrease in cardiac output.,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Obesity', 'R10': 'associated with', 'B': 'Decrease in cardiac output'},
    },
}
```",Rule1,1
147,18603,"A 36-year-old woman fell due to a car accident, his right arm by a direct hit, causing swelling and deformation of the right forearm, X-ray examination revealed distal radius fracture and dislocation of the distal radius and ulna, the most likely diagnosis in this patient why?","{'0': 'Galeazzi Mr. fracture', '1': ""Smith's fracture"", '2': 'Monteggia Mr. fracture', '3': ""Essex-Lopresti's fracture"", 'correct answer': ""Smith's fracture""}",Galeazzi Mr. fracture,0,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'direct hit', 'R3': 'leads to', 'B': 'distal radius fracture and dislocation of the distal radius and ulna'},
    },
}
```",Rule1,1
148,18647,Question linked to image nº4 73-year-old man with hemoptysis. The radiological study shows lung opacity that is biopsied. The histopathological diagnosis of the microscopic image of the biopsy is:,"{'0': 'Adenocarcinoma', '1': 'Atypical Carcinoid tumor.', '2': 'Squamous carcinoma', '3': 'Neuroendocrine carcinoma.'}",Squamous carcinoma,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Lung opacity', 'R3': 'leads to', 'B': 'Squamous carcinoma'},
    },
}
```",Rule1,2
149,18674,"6 a 43 year old male patient because of work, the body burns up to 35% of the surface area occurred seven days ago, surgeons arrange regular debridement and skin grafting surgery, the following statements is wrong?
","{'0': ""When inhalation burn if need to carefully evaluate the patient's airway case, if necessary, be patient inner fiber endoscope is inserted endotracheal tube in the awake situation"", '1': 'Removal of necrotic tissue and sometimes accompanied by massive blood loss, large caliber venous catheter placement is necessary', '2': 'When burn patients for surgery, operating room temperature should be minimized to prevent postoperative wound infections', '3': '24 hours after burn, succinylcholine make use of potassium ion concentration in vivo increased muscle relaxants, should be avoided', 'correct answer': ""When inhalation burn if need to carefully evaluate the patient's airway case, if necessary, be patient inner fiber endoscope is inserted endotracheal tube in the awake situation""}","When burn patients for surgery, operating room temperature should be minimized to prevent postoperative wound infections",2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Minimizing operating room temperature', 'R3': 'leads to', 'B': 'increased risk of postoperative wound infections'},
    },
}
```",Rule1,2
150,18680,Hawthorne effect is seen in:,"{'0': 'Case-control study.', '1': 'Cohort study.', '2': 'Cross-sectional study.', '3': 'Retrospective cohort study.'}",Cohort study.,1,"```json
{
    'option': 1,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Observation', 'R3': 'leads to', 'B': 'Hawthorne effect'},
    },
}
```",Rule1,1
151,18684,Which of the following neuromuscular blockers is used for endotracheal intubation because of its rapid onset of action and because it is the fastest to reverse its action ?:,"{'0': 'Suxamethonium.', '1': 'Cisatracurium', '2': 'Rocuronium.', '3': 'Atracurio.'}",Suxamethonium.,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Suxamethonium', 'R3': 'leads to', 'B': 'rapid onset of action and fastest reversal for endotracheal intubation'},
    },
}
```",Rule1,0
152,18747,Most common cause of death in cancer is -,"{'0': 'Bleeding', '1': 'Infection', '2': 'Respiratory failure', '3': 'Renal failure'}",Infection,1,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Cancer', 'R3': 'leads to', 'B': 'Respiratory failure'},
    },
}
```",Rule1,2
153,18778,The most common cause of bone destruction in periodontal disease is the extension of inflammation from the?,"{'0': 'Marginal gingiva into the supporting periodontal tissues', '1': 'Attached gingiva into the supporting periodontal tissues', '2': 'Interdental gingiva into the supporting periodontal tissues', '3': 'All of the above'}",Marginal gingiva into the supporting periodontal tissues,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Inflammation in marginal gingiva', 'R3': 'leads to', 'B': 'Bone destruction in periodontal disease'},
    },
}
```",Rule1,0
154,18830,"A 1-month-old girl is brought to the pediatrician by her parents. They are concerned that she becomes lethargic and irritated between meals. They found that feeding her often with small servings helps. She was born at 39 weeks via spontaneous vaginal delivery and is meeting all developmental milestones. Her mother has one brother that occasionally requires blood transfusions. Today, her blood pressure is 55/33 mm Hg, his heart rate is 120/min, respiratory rate is 40/min, and temperature of 37.0°C (98.6°F). On physical exam, the infant is irritated. She is slightly jaundiced. Her heart has a regular rate and rhythm and her lungs are clear to auscultation bilaterally. Her blood work shows normocytic anemia with elevated reticulocyte count and decreased haptoglobin. Sickle cell anemia and other hemoglobinopathies are also ruled out. A Coombs test is negative. Red blood cell osmotic fragility gap is normal. The physician determined that these findings are related to an enzyme deficiency. Which of the following allosterically inhibits this enzyme?","{'0': 'Alanine', '1': 'Adenosine monophosphate', '2': 'Fructose 1,6-bisphosphate', '3': 'Fructose 2,6-bisphosphate'}",Alanine,0,"```json
{
    'option': 0,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Alanine', 'R3': 'leads to', 'B': 'inhibition of the enzyme related to the findings'}
    }
}
```",Rule1,0
155,18839,"A 23-year-old man who was brought to the emergency room by his family for the past 3 weeks presented a picture of agitation with significant irritability, verbal and physical aggression, logorrhea, acceleration of thought with flight of ideas, almost global insomnia without feeling of fatigue. Next day, alcohol and marijuana consumption increased markedly and absence of awareness of illness with feelings of being ""better than ever"" and that his family ""is against him"" and that is why they bring him to the hospital. The psychiatrist on duty suspects that it is a manic phase. Which of the following actions is INCORRECT?","{'0': 'Proceed to a hospital admission resorting to an involuntary commitment if the patient refuses to enter.', '1': 'Try to reassure the patient verbally and with drugs that reduce agitation.', '2': 'Try to convince the patient that he must enter and if he refuses to discharge and recommend going to his mental health center.', '3': 'Inform the family of the need for a hospitalization to be able to treat the patient, since they will refuse to take medication voluntarily for lack of awareness of disease.'}",Try to convince the patient that he must enter and if he refuses to discharge and recommend going to his mental health center.,2,"```json
{
    ""option"": 2,
    {
        ""conversion_rule"": ""Rule1"",
        ""value"": {""A"": ""manic phase"", ""R3"": ""leads to"", ""B"": ""lack of awareness of disease""},
    },
}
```",Rule1,2
156,18842,Which of the following causes vasodilation?,"{'0': 'Thromboxane A2', '1': 'Prostaglandin E2', '2': 'Histamine', '3': 'Serotonin'}",Histamine,2,"```json
{
    'option': 2,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'Histamine', 'R1': 'cause', 'B': 'vasodilation'},
    },
}
```",Rule1,2
157,18846,"A 2-day-old infant male is brought to the emergency department with a 5-hour history of vomiting and irritability. He was born at home and had unreliable prenatal care because his parents have been experiencing housing instability. About a day after birth, he started to become lethargic and was feeding poorly. His parents thought that he might just be tired so they put him to bed; however, by the next morning he started to vomit and act extremely irritable. On presentation, he is found to have nuchal rigidity and bulging fontanelles. Based on this presentation, appropriate cultures are obtained and he is placed on empiric antibiotics. After all cultures grow out the same gram-positive bacteria, the patient is narrowed to penicillin G. Which of the following is a characteristic of the most likely organism that is causing this patient's symptoms?","{'0': 'Enlarges hemolytic area of Staphylococcus aureus', '1': 'Produces lipooligosaccharide rather than lipopolysaccharide', '2': 'Produces toxin that increases cAMP levels', '3': 'Tumbling motility in broth at 22 degrees'}",Enlarges hemolytic area of Staphylococcus aureus,0,"```json
{
    'option': 3,
    {
        'conversion_rule': 'Rule1',
        'value': {'A': 'gram-positive bacteria', 'R3': 'leads to', 'B': 'tumbling motility in broth at 22 degrees'},
    },
}
```",Rule1,3
